,Translated_Utterance,Emotion
4131,क्या यह सब व्यक्तिगत है?,surprise
4132,हाँ।,neutral
4133,अगर आपको पता होना चाहिए कि मुझे क्या पता है?,sadness
4134,क्यों? मैं?,sadness
4135,हाँ।,neutral
4136,Hmm. क्या आप महिलाओं के साथ सोते हैं और उन्हें फिर कभी नहीं बुलाते हैं?,neutral
4137,नहीं,neutral
4138,"चांदलर मुरीएल बिंग। लड़का, आपके माता-पिता ने कभी भी उन्हें मौका नहीं दिया?",neutral
4139,"हे! आप लोग, मैं? सभी के लिए एक छुट्टी गीत लिख रहा हूँ। क्या आप इसे सुनना चाहते हैं?",joy
4140,"Pheebs, कि? महान!",joy
4141,"ओह, याय!",joy
4142,लेकिन हां? Rachel does?t rhyme with draddle.,neutral
4143,मैं जानता हूँ लेकिन यह? अपने स्टुपिड नाम के साथ कुछ भी नहीं!,disgust
4144,आप किस बारे में बात कर रहे हैं? राहेल के साथ कई चीजें कविताएं। बगेल। मेल जेल बिल Able. मई-पोल।,neutral
4145,धन्यवाद। क्या आपके पास शायद एक उपनाम है जो एक उपनाम की तरह है?,neutral
4146,क्या आपके पिता ने आपको कद्दू बुलाने के लिए इस्तेमाल किया?,neutral
4147,ओके,neutral
4148,मैं ऐसा कर सकता हूँ।,neutral
4149,मैं उसे बता सकता हूं कि मैं कैसा महसूस करता हूं।,neutral
4150,"बस उह, बस सीधे खड़े हो जाओ।",fear
4151,एक जोड़ी गहरी सांस लें।,fear
4152,विश्वास करना,fear
4153,Joey? क्या?,neutral
4154,"मैं उह, मैं सिर्फ इसलिए आया क्योंकि मैं आपको कुछ के बारे में बात करना चाहता हूं।",fear
4155,क्या?,neutral
4156,मैं क्या करूं?,neutral
4157,मैं देखता हूँ। इस तरह की बातें करते हैं।,neutral
4158,मैंने कभी अपने जीवन में काम किया है।,neutral
4159,तुम जाओ!,neutral
4160,ओह!,neutral
4161,"ठीक है, क्या? आप तैयार हैं।",neutral
4162,वास्तव में?,surprise
4163,बिल्कुल! बस अपने सभी प्राकृतिक instincts लड़ो और तुम? महान हो जाएगा।,neutral
4164,ओके,neutral
4165,"अब, माँ, सब कुछ ठीक हो रहा है, वास्तव में।",neutral
4166,"येह, रॉस महान है।",neutral
4167,"वह उह है, वह पूरी तरह से दूसरे स्थान पर है।",neutral
4168,"नहीं, वह चला गया है।",neutral
4169,"नहीं, आपको वास्तव में वापस नहीं आना पड़ता।",neutral
4170,आपको क्या मतलब है कि यह आपका एकमात्र मौका हो सकता है?,surprise
4171,क्या आप रोक सकते हैं?,anger
4172,"मैं केवल 26 हूँ, मैं अभी तक शिशुओं के बारे में सोच नहीं हूँ।",non-neutral
4173,तुम कहाँ हो?,neutral
4174,"ओह, सिर्फ एक बच्चा था।",joy
4175,Mazel tov!,joy
4176,"ओह, wow! मुझे जाना चाहिए। मुझे रात्रिभोज मिला।",joy
4177,हाँ! कौन?,surprise
4178,आप जानते हैं कि लड़की मैंने आपको बताया कि कौन पफकेपेसी में रहता है?,neutral
4179,हाँ।,neutral
4180,उसे नहीं।,neutral
4181,"हाँ, यह कोई और मैं मिलता है, और मैं उन दोनों के बीच फैसला नहीं कर सकता।",neutral
4182,"Y? Poughkeepsie से एक को जानते हैं, भले ही वह दो घंटे की ट्रेन की सवारी करती है, वास्तव में सुंदर, वास्तव में स्मार्ट और बहुत मज़ा है।",neutral
4183,"लेकिन यह अन्य लड़की, अच्छी तरह से, वह सही शहर में रहती है।",neutral
4184,हां???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,neutral
4185,"अगर वह कोई मजेदार नहीं है, तो क्या आप उसे सब पर कब्ज़ा करना चाहते हैं?",neutral
4186,"ठीक है, मैं उसे एक और मौका देना चाहता हूँ, मैं?",neutral
4187,वह इतनी नज़दीकी रहती है।,neutral
4188,"और, तारीख के अंत में, दूसरी बार, उन्होंने कहा कि कुछ ऐसा है जो?",neutral
4189,"दूसरी ओर, अगर वह थी??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",non-neutral
4190,हे!,non-neutral
4191,हे!,non-neutral
4192,"हे, आदमी!",non-neutral
4193,"हे! ओह, रेस्तरां में आपका पहला दिन कैसे काम कर रहा था?",joy
4194,शॉन!,non-neutral
4195,ओह यहाँ? एक पूरे गुच्छा है।,neutral
4196,"ओह, मेरा मतलब है कि वह? उसके लिए इंतजार करने वाले शादी में होना चाहिए और लोग फुसफुसा हो जाएंगे, ""ओह कि गरीब लड़की""।",neutral
4197,क्या?,neutral
4198,फिर वह यहां वापस आना चाहता है और अकेले रहना चाहता है।,sadness
4199,हे मेरे परमेश्वर!,surprise
4200,क्या?,surprise
4201,"वहाँ कचरा में एक गर्भावस्था परीक्षण था, और यह सकारात्मक? Monica? गर्भवती। इसलिए मुझे लगता है कि वह पूरी तरह से अकेले नहीं रही।",surprise
4202,नमस्ते।,neutral
4203,"सुनिए, मुझे लगता है कि रोजर के साथ पूरी बात।",sadness
4204,"यह वास्तव में सही नहीं था, और मैं, और मैं इसे आप तक बनाना चाहता हूं, इसलिए उमंग, मैं आपको कुछ ऐसा लाया जो मुझे लगता है कि आप वास्तव में आनंद लेंगे।",non-neutral
4205,"अब, यह सिर्फ एक ऋण है।",neutral
4206,ओके?,neutral
4207,मैं?,neutral
4208,To go to?,neutral
4209,मैं क्या कर सकता हूँ?,sadness
4210,हे!,joy
4211,हे!,joy
4212,हाय!,joy
4213,क्यों नहीं?,non-neutral
4214,"हे, आप जोय को एक पक्ष देना चाहते हैं, शायद आप जॉय के साथ बाहर निकल जाते हैं।",neutral
4215,क्या हम?,neutral
4216,"मैं उसके साथ हूँ, मैं उसे पसंद करता हूँ।",non-neutral
4217,"ओह, कि? अपने instincts के साथ जाओ, अपने instincts के साथ जाओ।",non-neutral
4218,अब मैं फिर से क्या कर रहा हूँ?,surprise
4219,आओ! क्या आप ध्यान देना चाहते हैं?,anger
4220,"हाय, मैं? मैं यहोशू हूँ, मैं?",neutral
4221,"नहीं, नहीं?",anger
4222,क्या आप मुझसे चाहते हैं? मैंने कभी लड़का से मुलाकात नहीं की।,non-neutral
4223,"वैसे भी, राहेल, मैं???????????????",sadness
4224,मैं कैसे देखूं?,neutral
4225,"ओह, उह, मैं ... ध्यान नहीं देते।",neutral
4226,"ठीक है, अब याद है, कोई व्यापार नहीं है।",neutral
4227,"आपको बहुत कुछ मिलता है, मुझे गड़बड़ी होती है।",neutral
4228,"हाय, जो अच्छी तरह से, आप क्या लाया देखो। बहुत अच्छा।",joy
4229,...... और तुम क्या करते हो?,neutral
4230,वह कोट की जाँच कर रही है।,neutral
4231,"Joey, मैं अपने हाथों से कैब गंध को धोना चाहता हूं।",neutral
4232,"क्या आपको मुझे एक सफेद ज़िनफ़ंदेल मिलेगा, और जैनिस के लिए एक गिलास लाल होगा।",neutral
4233,Janice?,surprise
4234,हे अल्लाह!,surprise
4235,"हे, यह जैनिस है।",non-neutral
4236,"ठीक है, इसलिए, मैं नहीं करता? क्या आप जानते हैं?",non-neutral
4237,"राहेल मेरे निकटतम मित्रों में से एक है। हालांकि, एकमात्र ऐसा व्यक्ति जो इस बारे में कुछ जानता है, वह मुझे विशेष महसूस करता है। नमस्ते!",neutral
4238,"ओके, स्टॉप-स्टॉप! Phoebe?",non-neutral
4239,हे रैच!,non-neutral
4240,क्या था?,surprise
4241,"सोरी मिश्रण। हे, फिल्म कैसे थी?",neutral
4242,मैंने अभी तक नहीं देखा!,neutral
4243,ठीक है तो तुम? बेहतर जल्दी करो! एंजेलिका! जाओ!,non-neutral
4244,Nooooooooo!!,anger
4245,Feebs! हे Pheebs!,joy
4246,"Uh, okay, Pheebs?",neutral
4247,हाँ?,neutral
4248,"Umm, y'know कैसे दूसरे दिन आप के बारे में बात कर रहे थे कि कैसे आप लंदन जाने के लिए नहीं गए थे और कैसे आप दयालु महसूस कर रहे थे?",neutral
4249,हाँ?,neutral
4250,"ठीक है, ठीक है, हम वास्तव में इसके बारे में बुरा महसूस करते हैं, इसलिए हमने फैसला किया कि हम सभी को एक साथ थोड़ा यात्रा करनी चाहिए!",joy
4251,"ओह, यह इतना अच्छा है! कैसे महान! खैर, कहाँ? कहाँ यात्रा है?",non-neutral
4252,"खैर, हमने सोचा कि हम सभी केंद्रीय पार्क में पिकनिक पर जाएंगे!",joy
4253,"हाँ, हम सब! आज!",joy
4254,वह बेकार है!,disgust
4255,यह एक यात्रा नहीं है!,non-neutral
4256,मैं सिर्फ पार्क से आया हूँ!,non-neutral
4257,हम क्या हैं?,non-neutral
4258,"""Well, यह मेरे घर से सही है, सब ठीक है!",non-neutral
4259,"ठीक है, मैं अपने सेंट्रल पार्क विचार की जीत में घर और बास्क जाना चाहता हूं।",non-neutral
4260,हे-वाहा-वाहा-वाहा-वाहा!,surprise
4261,"वहाँ एक सेकंड पर हो-हो-होल्ड, श्री Kissey!",surprise
4262,"Y'know, मैं इस पूरे, छोटे, नए यूरोपीय चीज़ के बारे में आप से बात करने का अर्थ रहा हूँ, और मुझे सिर्फ आपको यह बताने की जरूरत है कि यह मुझे बहुत असहज बनाता है और मैं सिर्फ़?",anger
4263,मैं सिर्फ समूह में थोड़ी संस्कृति लाने की कोशिश कर रहा था।,non-neutral
4264,"यह ठीक है, बस इसे मेरे मुंह में न लाएं।",disgust
4265,मैं चाहता हूँ!,disgust
4266,क्या वह वहाँ में है?,neutral
4267,हाँ। वह?,neutral
4268,क्या यह बिल्कुल सही है?,neutral
4269,मुझे लगता है मैं?,sadness
4270,यह मेरे जीवन में एक और चीज है जो अचानक पूरी तरह से अलग है।,sadness
4271,यह कठिन है।,sadness
4272,हाँ मैं जानता हूँ।,neutral
4273,"um में दूसरी तरफ, लगभग सात महीने में आप? क्या कुछ ऐसा है कि आप? क्या आप किसी भी आदमी से प्यार करते हैं? कभी कभी साथ चले गए।",neutral
4274,बस प्रतीक्षा करें।,neutral
4275,"उह तक प्रतीक्षा करें, पहली बार जब तक आपका बच्चा अपनी उंगली पकड़ लेता है तब तक प्रतीक्षा करें।",joy
4276,आपको कोई विचार नहीं है।,joy
4277,धन्यवाद।,neutral
4278,क्या आप चाहते हैं?,neutral
4279,"ओह नहीं, मुझे लगता है कि मैं? हूँ गोना घर जाओ और दस कैंडी बार खाओ।",sadness
4280,"हे, मैंने सोचा कि मैं तुम्हें खुश हूँ।",non-neutral
4281,"ओह आपने किया, यहाँ में बीस हैं।",neutral
4282,अधिकार शुभ रात्रि,neutral
4283,शुभ रात्रि,neutral
4284,हाय,neutral
4285,हाय! हे माँ।,joy
4286,"यह एक महान पार्टी है! 35 वर्ष बहुत प्रभावशाली, क्या आप लोग ज्ञान के किसी भी मोती हैं?",joy
4287,जैक?,surprise
4288,क्यों आप इस तरह के एक तेज छड़ी पर भोजन की सेवा करेंगे?,surprise
4289,"That? a good question, dad. कि?",neutral
4290,Hmmm.,neutral
4291,आप दो बधाई!,joy
4292,To make a good way to be a very excited.,joy
4293,"और साथ ही, आपकी शादी पर बधाई।",joy
4294,क्या?,surprise
4295,इस पर ध्यान दें!,non-neutral
4296,बस इसलिए क्योंकि उन्हें एक बड़ी नाव मिली जिसे वह सोचता है कि वह पूरी नदी ले सकता है।,disgust
4297,जिस तरह से jackass से बाहर हो जाओ!,anger
4298,कौन अपने नाव कोस्ट गार्ड का नाम देता है?,disgust
4299,कि,neutral
4300,वे यहाँ क्या कर रहे हैं? तट? वहाँ पर सभी रास्ते।,surprise
4301,हे!,non-neutral
4302,हे! इसे देखें! यह अविश्वसनीय है! Joey लगभग चार मिनट के लिए अपनी सांस पकड़ रही है!,surprise
4303,Dude! क्या आप मुझे मारने की कोशिश कर रहे हैं?,non-neutral
4304,Ow!,non-neutral
4305,"वास्तव में? ठीक है, यह सिर्फ हर किसी की तरह? अपार्टमेंट। यह? कमरे, दीवारों और छत मिल गया।",neutral
4306,"ठीक है, मैं सिर्फ यह देखना चाहता था कि आप कहाँ रहते थे। अब मुझे दौरे दे दो।",neutral
4307,हे मेरे परमेश्वर! हे मेरे परमेश्वर!,surprise
4308,"ठीक है, यह लिविंग रूम है।",neutral
4309,प्रभावशाली।,neutral
4310,ठीक है। यह रसोई है।,neutral
4311,"ओह, कि? एक मिनट की प्रतीक्षा करें, क्या?",non-neutral
4312,बेडरूम ठीक है? बहुत अपने ठेठ... बेडरूम।,neutral
4313,हम अभी भी दरवाजे के इस हिस्से पर हैं।,neutral
4314,उम-hmm।,neutral
4315,"हाँ, लेकिन मैंने इसे क्यों नहीं देखा?",sadness
4316,ओह शूटिंग! शायद अगली बार। एक सुंदर शाम के लिए धन्यवाद।,neutral
4317,क्या वह थी?,non-neutral
4318,"ओह, वह अंधा तारीख थी जिसे मैंने आपको बताया, उसने इसे आज तक बुलाया और स्विच किया।",neutral
4319,"क्या आप उसे पसंद करते हैं? मैं एक दोस्त के रूप में पूछ रहा हूँ, क्योंकि मैं इसके साथ पूरी तरह से ठीक हूँ।",neutral
4320,"ठीक है, आप ठीक लगते हैं।",neutral
4321,"ठीक है, मैं नहीं सोचता कि यह क्या है?",neutral
4322,"नहीं, नहीं, मैं क्या करना चाहता?",disgust
4323,"हाँ, नहीं, मैं? यह करने के लिए अन्य लड़कियों में से एक मिल जाएगा।",neutral
4324,"ओह, यह बहुत मजेदार होगा!",joy
4325,हे!,surprise
4326,क्या आप उत्साहित हैं?,joy
4327,"हाँ! हे, क्या मोनिका और राहेल वहाँ काम करते हैं?",neutral
4328,"ठीक है, इसलिए अब हमें आवश्यकता है, उम ऋषि शाखाओं और sacramental शराब।",neutral
4329,"मेरे पास है, oregano है और एक",neutral
4330,वह ठीक है! ठीक ठीक है। अब हमें एक धर्मी व्यक्ति के वीर्य की आवश्यकता है।,joy
4331,"ठीक है, फ़िब्स, आपको पता है कि क्या है, अगर हमारे पास ऐसा है, तो हम पहले स्थान पर अनुष्ठान नहीं करेंगे।",neutral
4332,क्या हम चीजों को फेंकना शुरू कर सकते हैं?,neutral
4333,"ठीक है, हाँ, ठीक है। ओह, OK।",neutral
4334,"ओके, बैरी के अक्षर। एडम रिटर के बॉक्सर शॉर्ट्स।",neutral
4335,"ठीक है, और मेरे पास Nokulu Oon Ah के साथ मेरे डिनर के लिए उह रसीद है।",neutral
4336,यहाँ स्कॉटी जारेड की एक तस्वीर है।,non-neutral
4337,वह एक स्वेटर पहने हुए है।,surprise
4338,नहीं,neutral
4339,Eww!,disgust
4340,और यहाँ हमारे पास पॉलो के ग्रेप्पा का अंतिम हिस्सा है।,neutral
4341,"हे, राहेल, वह नहीं है कि लगभग शुद्ध सामान ...",neutral
4342,"मोना? अगर मैं एक सैल्मन शर्ट था, तो मैं कहाँ होगा?",neutral
4343,मुझे इतना खेद है कि मैं अपनी शर्ट पर पूरी तरह से शराब पी रहा हूं।,sadness
4344,"ओह, यह ठीक है।",neutral
4345,"नहीं, यह अभी भी गीला है।",non-neutral
4346,क्या?,neutral
4347,इससे पहले कि यह सेट हो जाए।,neutral
4348,"Ooh, मैं कुछ तुम पहन सकते हैं।",neutral
4349,यहाँ,neutral
4350,"Oh umm, I-I don? मुझे नहीं पता कि क्या मैं एक महिला शर्ट पहनना चाहता हूं।",non-neutral
4351,कोई नहीं कि? एक आदमी? शर्ट।,neutral
4352,यह वास्तव में गुलाबी है।,neutral
4353,"ओह, यह सही है!",joy
4354,आपके बारे में?,neutral
4355,यह एक रसोई स्लैश बाथरूम है।,neutral
4356,"सब ठीक है, मैं देखता हूँ कि तुम लोग क्या कह रहे हैं। मैं उह हूँ, मैं downstairs जाना और एक आवेदन बाहर भरने जाएगा।",neutral
4357,हम बुरे लोग हैं।,disgust
4358,वह जानता था कि हम उससे छुटकारा पाने की कोशिश कर रहे थे। वह जानता था! आपको लगता है कि हम अपने रसोईघर में बाथटब प्राप्त कर सकते हैं?,surprise
4359,हे!,joy
4360,चलो?,joy
4361,"ठीक है, मुझे सिर्फ एक कप कॉफी मिलती है।",neutral
4362,"ओह राहेल, मैं सबसे अच्छा कॉफी हाउस जानता हूँ और यह?",neutral
4363,यहाँ से करीब?,neutral
4364,"ओह, हे, देखो, मैं कॉफी पाया! ठीक है, चलो?",non-neutral
4365,"इंतज़ार करो, मैं?",neutral
4366,"ओके, आपकी उच्चता।",neutral
4367,"उम, राहेल I? वास्तव में खेद है। क्या आप एक साथ वापस आना चाहते हैं? हाँ, ठीक है। क्या किसी और ने कहा?",surprise
4368,तो तुम कैसे जानते हो कि मैं यहां भी था?,surprise
4369,आपकी माँ ने मुझे बुलाया। क्या यह उसका है?,neutral
4370,"नहीं, यह एक ऋणदाता है।",neutral
4371,मुझे माफ़ी है कि आपको ऐसा करना चाहिए।,neutral
4372,"मैं खुद से नहीं था। मेरे पास एक डॉक्टर, एक नर्स और एक सहायक लड़का था। इसलिए, क्या आप देखते हैं कि किसने खेल जीता?",neutral
4373,"येह, 10 तक Knicks। वे बेकार हैं।",neutral
4374,"हाँ, वे इतना बुरा नहीं हैं।",neutral
4375,मैं???????????,neutral
4376,"मुझे पता है। मुझे पता है। मैं panicked, मैं panicked हूँ। मैं क्या करना चाहता हूँ कि मुझे क्या करना चाहिए?",non-neutral
4377,यह लफ़ाइट? वास्तव में? 74 लातूर वास्तव में काफी अच्छी तरह से पीने वाला है।,non-neutral
4378,यहाँ वह आता है। मैं क्या करता हूँ?,fear
4379,मैंने सिर्फ एक दोस्त को बुलाया।,neutral
4380,हाँ?,surprise
4381,मुझे लगता है कि मैं बुक करने में सक्षम हो सकता है,neutral
4382,वास्तव में?,surprise
4383,यह स्वीटी क्या है?,non-neutral
4384,वहाँ?? नहीं एक शादी हो सकता है। रॉस और मैं शादी नहीं कर रहे हैं।,sadness
4385,क्या?,surprise
4386,मैं अपने पिता से प्यार करता हूँ।,sadness
4387,मैं क्या करता हूँ?,non-neutral
4388,ओह अब पिताजी शांत रहते हैं। कृपया।,fear
4389,शांत रहें?,anger
4390,आप मुझे कैसे शांत रहने की उम्मीद करते हैं?,anger
4391,यह अस्वीकार्य राहेल है!,anger
4392,मैं क्यों जानता हूँ?,anger
4393,क्या यह कारण है कि पंक रॉस ने जीता?,anger
4394,यही?,non-neutral
4395,क्या यह है?,anger
4396,!,non-neutral
4397,"हाँ। हाँ, वह कहता है कि मैं क्षतिग्रस्त वस्तुओं हूँ।",sadness
4398,"इसलिए, आप?",surprise
4399,और तुम हमारी उम्र? आप हमारी उम्र हैं।,surprise
4400,तुम क्या चाहते हो?,neutral
4401,पेटे डकोटा क्या पसंद है?,neutral
4402,"हाँ, या, या, या, मिसिस-पेते।",neutral
4403,"ओह, ओह, मैं इसे मिला! Pete-Chicago.",neutral
4404,यही नहीं?,neutral
4405,"Oh, and Mississ-Pete is?",neutral
4406,"मैं जाने के लिए मिला, तो आह, मैं तुम लोग बाद में देखेंगे।",neutral
4407,ओके,neutral
4408,आप हमारी उम्र हैं!,surprise
4409,"इसलिए, हम कल के लिए?",neutral
4410,बिल्कुल!,joy
4411,अब आप यहाँ से बाहर हो जाओ!,joy
4412,"ठीक है, मैं?",non-neutral
4413,"देखो, मेरे साथ कुछ गलत है?",sadness
4414,मेरा मतलब है कि मैं केवल उन लोगों को आकर्षित क्यों कर रहा हूं जहां भविष्य नहीं?,sadness
4415,क्या वे बहुत पुराने हैं? कौन???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,sadness
4416,"मेरा मतलब है, गंभीरता से, क्या यह मेरे साथ गलत है?",sadness
4417,!,neutral
4418,नहीं,neutral
4419,"ठीक है, मैं? हूँ फ्रैंक जाना।",neutral
4420,"इसलिए, हम सड़क पर घूम रहे हैं और मैं आपको बदल देता हूं और मैं कहता हूं, ""हाय, चलो????????",neutral
4421,"और फिर, और फिर, आप मुझे बदल देते हैं और कहते हैं, ""ना, चलो?? बस अपने स्थान पर लटका। ठीक है, यह एक अच्छा कदम डंब ass था।",non-neutral
4422,"हाँ, मुझे लगता है कि जब आप लोग उदास थे तो यह बेहतर था। हे, उह, रोलर ब्लेड याद करते हैं?",neutral
4423,मुझे क्या पता है?,anger
4424,"""I? Monica.",anger
4425,मैं दिन में 17 बार शौचालय धोता हूँ।,anger
4426,यहां तक कि अगर लोग उस पर हैं!,anger
4427,"""हाय I? मी राहेल मेरे स्वेटर बहुत तंग है? नहीं? ओह, मैं? बेहतर इसे धोना और इसे हटना!",anger
4428,"""I? Monica, I don? मुझे दिलचस्प लोगों से फोन संदेश नहीं मिला। कभी!",anger
4429,हे! मैं उसे बुलाता हूँ!,non-neutral
4430,मैं रोस से प्यार करता हूँ! मैं रॉस से नफरत करता हूँ! मैं रॉस प्यार! मैं रॉस से नफरत करता हूँ!,anger
4431,"""मेरे परमेश्वर, मैं क्या कर सकता हूं? मैं एक प्रेमी नहीं पा सकता!",anger
4432,इसलिए मुझे लगता है कि मैं? सिर्फ हॉल भर में ठोकर खाऊंगा और पहले आदमी के साथ सोऊंगा।,anger
4433,"हाँ, अगर हम उन रात्रिभोज आरक्षण करना चाहते हैं तो हमें एक कदम मिलना चाहिए।",neutral
4434,"मद J437-A, रंग: सर्दियों।",neutral
4435,"नमस्ते, सुनिए यहाँ आते हैं।",neutral
4436,मैं कल के बारे में सोच रहा हूँ।,sadness
4437,मैं?,sadness
4438,मैं,non-neutral
4439,"सुनिए रॉस, आपको क्या करना है? मैं समझता हूँ कि तुम क्यों थे?",neutral
4440,आप क्या करते हैं?,surprise
4441,"हाँ, आपके पास अभी भी मेरे लिए भावनाएं हैं।",non-neutral
4442,"और ईमानदार होने के लिए, मैं अभी भी तुम्हारे लिए भावनाओं है।",joy
4443,"मैं चाहता हूं कि हम इसे रॉस से बाहर कर सकते हैं, लेकिन हम क्या कर सकते हैं?",sadness
4444,यह आपके और राहेल और बच्चे के साथ बहुत जटिल है।,sadness
4445,हे भगवान!,non-neutral
4446,"रॉस, We have to be strong. ठीक है, मैं? क्या मैं कर सकता हूँ? आपको याद रखने के लिए?",sadness
4447,नहीं,neutral
4448,"मैं तुम्हें बताता हूँ, अगर आप उस चीज का ध्यान रखना चाहते हैं, तो आपको अपने हर्बल लड़के पर जाना चाहिए।",neutral
4449,"धन्यवाद, लेकिन मैं इसे Pheebs दूर करना चाहता हूँ। मैं क्या करना चाहता हूँ?",neutral
4450,"जब लड़कियों को अपने शरीर पर अजीब चीजों के साथ नींद आती है, तो वे अपने दोस्तों को इसके बारे में बताते हैं।",neutral
4451,इसे छोड़कर।,neutral
4452,"हाय! ठीक है, क्या मुझे पागल नहीं होना चाहिए, लेकिन मैं नहीं रोक सकता?",neutral
4453,दुल्हन पत्रिकाओं?,surprise
4454,"हां, और मुझे पता है कि आप? क्या कहना है कि अगर उसने आपसे पूछा, लेकिन मैं? मुझे क्षमा करना; आप इस डोना कैरिन में गलियारे को कैसे चलना चाहते हैं।",neutral
4455,"ओह! ओह, आपको यह भी पता होना चाहिए। क्लब की तरह।",non-neutral
4456,"यह इतना अजीब है, मुझे पता है कि मैंने क्या कहा था, लेकिन उह, इस सुबह, मैं बिस्तर में झूठ बोल रहा था मैं था, मैं कल्पना कर रहा था कि यह क्या होगा?",non-neutral
4457,"मुझे पता है कि? थोड़ा अचानक, और यह? एक छोटे से दौड़ा, और यह? पूरी तरह से मुझे इस तरह कुछ करना पसंद नहीं है, लेकिन इसका मतलब यह नहीं है कि मैं क्या कर सकता हूँ?",non-neutral
4458,सही?,non-neutral
4459,"मेरा मतलब है मैं? हूँ? मैं पेट के बारे में पागल हूँ, और मुझे पता है कि हम वही चीजें चाहते हैं, और जब मैंने सोचा कि हाँ, यह मुझे वास्तव में खुश कर दिया।",non-neutral
4460,हे मेरे परमेश्वर।,surprise
4461,मुझे पता है। मुझे अधिक पाई की जरूरत है।,neutral
4462,यदि आप शादी करते हैं तो क्या मैं दो मेहमानों को ला सकता हूं?,neutral
4463,आपने क्या किया?,surprise
4464,"नहीं, जो आपको बताने का मेरा तरीका था।",neutral
4465,"ठीक है, यह पता चला कि वह अविश्वसनीय रूप से संवेदनशील है, वह एक पत्रिका रखता है और वह पेंट करता है।",neutral
4466,उन्होंने मुझे चारकोल चित्र भी दिखाया कि उन्होंने मुझे आकर्षित किया।,neutral
4467,वाह!,surprise
4468,"हाँ, अच्छी तरह से वह पानी के रंग को पसंद करता है, लेकिन y'know, उसके पास बहुत सारे चारकोल तक पहुंच आसान है।",neutral
4469,"इसलिए, क्या आप जेसन को डंप करने जा रहे हैं?",neutral
4470,"ठीक है, हाँ, क्योंकि मुझे किसी के साथ ब्रेक करना पड़ता है, और ठीक है, इसलिए जेसन संवेदनशील है, लेकिन अब तो? विंस प्लस, विंस के पास शरीर है?",neutral
4471,तो यह वास्तव में गणित के बारे में है।,neutral
4472,"ठीक है, इसलिए यह एक टाई फिर से, 41 से 41 है।",neutral
4473,"ठीक है, देखो! पर्याप्त है!",anger
4474,"नहीं, मेरे पास सिर्फ दो और अंक हैं!",non-neutral
4475,"मोनिका, यह भी एक सच था",neutral
4476,मैं अभी नहीं चल सकता! मैं चार घंटे में डाल दिया है!,non-neutral
4477,लेकिन...,neutral
4478,देखो!,non-neutral
4479,जब आप मुझसे शादी करते हैं तो आप मेरे बारे में जानते हैं!,neutral
4480,आप मुझे बीमारी और स्वास्थ्य में लेने के लिए सहमत हैं।,neutral
4481,"ठीक है, यह मेरी बीमारी है!",non-neutral
4482,"ओह योआह, लॉबस्टर।",neutral
4483,"हाँ, मेरा मतलब है कि मैं रात भर बीमार था।",neutral
4484,"मुझे भी, हर रात।",neutral
4485,वास्तव में? हमने कैसे किया?,surprise
4486,"क्यों? हाँ, आप नहीं चाहते हैं?",neutral
4487,मैं क्या कर सकता हूँ?,surprise
4488,प्रतीक्षा करें! प्रतीक्षा करें! शायद वह?,surprise
4489,"हाँ, ठीक है?",neutral
4490,"नहीं! मैं परवाह नहीं करता कि मेरे हार्मोन क्या कर रहे हैं, मैं सिर्फ कुछ यादृच्छिक आदमी के साथ ऐसा करने के लिए नहीं जा रहा हूँ!",disgust
4491,ठीक! फिर आप रोजर को बताते हैं क्योंकि वह वास्तव में इस बारे में सोच रहा था!,non-neutral
4492,तो,neutral
4493,तो,neutral
4494,मैंने सोचा कि हम दोनों को बिट के लिए लटकाना चाहिए।,neutral
4495,"मेरा मतलब है, तुम्हें पता है, हम वास्तव में कभी बात नहीं की है।",neutral
4496,"मुझे लगता है कि आप जानते हैं कि, हम दोनों में से एक है, हालांकि, सही?",neutral
4497,"मुझे पता है कि शायद मुझे यह भी नहीं कहना चाहिए, लेकिन मैं आपके द्वारा पूरी तरह से डर रहा हूं।",fear
4498,वास्तव में? मुझे?,surprise
4499,हाँ।,neutral
4500,हे मेरे देवता?,surprise
4501,"रॉस आपके बारे में इतना पागल है, और मैं वास्तव में चाहता हूं कि आप मुझे पसंद करें, और शायद मैं पूरी तरह से पागल हो रहा हूं, लेकिन मुझे लगता है कि शायद आप नहीं करते हैं।",non-neutral
4502,"ठीक है, आप पूरी तरह से paranoid नहीं हैं।",neutral
4503,Oy.,non-neutral
4504,"उम, ठीक, उह, ओह देवता, उम, जब आप और उह रॉस पहले बाहर जाना शुरू कर दिया, यह वास्तव में मेरे लिए मुश्किल था, उम, कई कारणों से, जो मैं अब के साथ बोर नहीं हूँ, लेकिन उम, मैं सिर्फ, मैं कैसे खुश है, तुम जानते हैं, और कैसे अच्छा तुम लोग एक साथ कर रहे हैं, और उम, मोनिका हमेशा कह रहा है कि कैसे अच्छा आप कर रहे हैं, और भगवान मैं इसे नफरत जब वह सही है।",non-neutral
4505,"धन्यवाद। हे, सुनो, क्या आप कुछ समय या कुछ फिल्मों में जाना चाहते हैं?",neutral
